route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
41,G2511L_F3,G2511L_F3_041-01_5,Puerta Blanca,1,041-01,412
41,G2511L_F3,G2511L_F3_041-01_6,El Palo,0,041-01,411
41,G2511L_F3,G2511L_F3_041-01_7,Puerta Blanca,1,041-01,412
41,G2511L_F3,G2511L_F3_041-01_8,El Palo,0,041-01,411
11,G2511L_F3,G2511L_F3_041-02_2,El Palo (P.Virginia),0,041-02,113
11,G2511L_F3,G2511L_F3_041-02_3,Universidad,1,041-02,114
11,G2511L_F3,G2511L_F3_041-02_4,El Palo (P.Virginia),0,041-02,113
41,G2511L_F3,G2511L_F3_041-02_5,Puerta Blanca,1,041-02,412
41,G2511L_F3,G2511L_F3_041-02_6,El Palo,0,041-02,411
41,G2511L_F3,G2511L_F3_041-02_7,Puerta Blanca,1,041-02,412
41,G2511L_F3,G2511L_F3_041-02_8,El Palo,0,041-02,411
41,G2511L_F3,G2511L_F3_041-02_9,Puerta Blanca,1,041-02,412
15,G2511L_F3,G2511L_F3_041-03_2,Santa Paula,0,041-03,151
15,G2511L_F3,G2511L_F3_041-03_3,Virreina,1,041-03,152
15,G2511L_F3,G2511L_F3_041-03_4,Santa Paula,0,041-03,151
41,G2511L_F3,G2511L_F3_041-03_6,El Palo,0,041-03,411
41,G2511L_F3,G2511L_F3_041-03_7,Puerta Blanca,1,041-03,412
41,G2511L_F3,G2511L_F3_041-03_8,El Palo,0,041-03,411
41,G2511L_F3,G2511L_F3_041-03_9,Puerta Blanca,1,041-03,412
41,G2511L_F3,G2511L_F3_041-03_10,El Palo,0,041-03,411
3,G2511L_F3,G2511L_F3_041-04_2,El Palo (Olias),0,041-04,31
3,G2511L_F3,G2511L_F3_041-04_3,Puerta Blanca,1,041-04,32
41,G2511L_F3,G2511L_F3_041-04_5,El Palo,0,041-04,411
41,G2511L_F3,G2511L_F3_041-04_6,Puerta Blanca,1,041-04,412
41,G2511L_F3,G2511L_F3_041-04_7,El Palo,0,041-04,411
41,G2511L_F3,G2511L_F3_041-04_8,Puerta Blanca,1,041-04,412
41,G2511L_F3,G2511L_F3_041-04_9,El Palo,0,041-04,411
41,G2511L_F3,G2511L_F3_041-05_2,Puerta Blanca,1,041-05,412
41,G2511L_F3,G2511L_F3_041-05_3,El Palo,0,041-05,411
41,G2511L_F3,G2511L_F3_041-05_4,Puerta Blanca,1,041-05,412
41,G2511L_F3,G2511L_F3_041-05_5,El Palo,0,041-05,411
41,G2511L_F3,G2511L_F3_041-05_6,Puerta Blanca,1,041-05,412
41,G2511L_F3,G2511L_F3_041-05_7,El Palo,0,041-05,411
41,G2511L_F3,G2511L_F3_041-05_8,Puerta Blanca,1,041-05,412
41,G2511L_F3,G2511L_F3_041-05_9,El Palo,0,041-05,411
41,G2511L_F3,G2511L_F3_041-05_10,Puerta Blanca,1,041-05,412
1,G2511L_F3,G2511L_F3_042-01_2,San Andrés,0,042-01,14
1,G2511L_F3,G2511L_F3_042-01_3,Alameda Principal - Sur,1,042-01,12
42,G2511L_F3,G2511L_F3_042-01_4,Plaza de la Marina,0,042-01,422
42,G2511L_F3,G2511L_F3_042-01_5,Plaza de la Marina,0,042-01,422
42,G2511L_F3,G2511L_F3_042-01_6,Plaza de la Marina,0,042-01,422
42,G2511L_F3,G2511L_F3_042-01_7,Plaza de la Marina,0,042-01,422
42,G2511L_F3,G2511L_F3_042-01_8,Plaza de la Marina,0,042-01,422
43,G2511L_F3,G2511L_F3_043-01_2,Maqueda,0,043-01,433
43,G2511L_F3,G2511L_F3_043-01_3,Paseo del Parque,1,043-01,432
43,G2511L_F3,G2511L_F3_043-01_4,Maqueda,0,043-01,433
21,G2511L_F3,G2511L_F3_044-01_2,Paseo del Parque,1,044-01,214
